,V,B,G
244,-0.592333,0.1,1.5621683986180666
245,-0.591,0.1,1.5857040784109993
246,-0.584547,0.1,1.5885986475384528
247,-0.581,0.1,1.614298681710566
248,-0.571,0.1,1.634420521748867
249,-0.570956,0.1,1.618753651041854
250,-0.563234,0.1,1.6383393882982331
251,-0.559,0.1,1.6811048453760136
252,-0.550891,0.1,1.655523281366866
253,-0.544,0.1,1.6770575773390093
254,-0.541589,0.1,1.663495365123091
255,-0.534137,0.1,1.694836110253478
256,-0.531,0.1,1.7157867982128523
257,-0.525,0.1,1.700306654791066
258,-0.524482,0.1,1.7011043884057029
259,-0.516,0.1,1.729288445925371
260,-0.512333,0.1,1.7088618780393474
261,-0.504,0.1,1.7157427238174416
262,-0.500657,0.1,1.7236998402593335
263,-0.5,0.1,1.7345253075749425
264,-0.496375,0.1,1.7244659910264073
265,-0.49,0.1,1.7203560904149673
266,-0.487453,0.1,1.718957459637782
267,-0.481,0.1,1.714617564602862
268,-0.478493,0.1,1.7134930296363071
269,-0.471227,0.1,1.7074664416558512
270,-0.471,0.1,1.6917015633362886
271,-0.45903,0.1,1.6671755741670269
272,-0.458,0.1,1.678594397088705
273,-0.457,0.1,1.670155314061086
274,-0.451912,0.1,1.6545688252678057
275,-0.45,0.1,1.646214727742044
276,-0.449,0.1,1.690538351633143
277,-0.441,0.1,1.622963064411531
278,-0.439235,0.1,1.6105042035858743
279,-0.434,0.1,1.5726565500811622
280,-0.433589,0.1,1.5666239426318076
281,-0.419,0.1,1.507519526288151
282,-0.417625,0.1,1.4929020699252709
283,-0.411,0.1,1.4838981519457533
284,-0.409395,0.1,1.4649438851336305
285,-0.398524,0.1,1.404511507412099
286,-0.398,0.1,1.4004828344430973
287,-0.392673,0.1,1.3280435987475332
288,-0.387,0.1,1.3514961705310002
289,-0.378,0.1,1.2404741952006142
290,-0.374713,0.1,1.2502908446389278
291,-0.368,0.1,1.199872642677732
292,-0.362443,0.1,1.196782680234102
293,-0.359,0.1,1.0889772149134695
294,-0.353998,0.1,1.110703709778022
295,-0.345,0.1,1.0320225449982598
296,-0.344728,0.1,1.037297451380368
297,-0.338,0.1,0.9118911619985464
298,-0.334,0.1,0.886857156856062
299,-0.326364,0.1,0.9594208478116908
300,-0.322,0.1,0.7464666492348867
301,-0.321124,0.1,0.8833997532595962
302,-0.314799,0.1,0.8025275679133749
303,-0.312,0.1,0.7210940599231711
304,-0.307,0.1,0.611937137060392
305,-0.305747,0.1,0.7548737448448007
306,-0.299,0.1,0.6006483153980561
307,-0.296068,0.1,0.6708549295385615
308,-0.29,0.1,0.4800744248410089
309,-0.288945,0.1,0.5991028598727519
310,-0.281179,0.1,0.5280542409507861
311,-0.279,0.1,0.4517018638313055
312,-0.272611,0.1,0.4986438166536905
313,-0.272,0.1,0.3711933538198581
314,-0.266302,0.1,0.448485567351124
315,-0.258,0.1,0.388324573851849
316,-0.2543,0.1,0.3946579376242643
317,-0.253,0.1,0.3095776148266665
318,-0.249123,0.1,0.3596280449515807
319,-0.238,0.1,0.2642998568142174
320,-0.236098,0.1,0.317823377743719
321,-0.230464,0.1,0.2963195453335177
322,-0.227,0.1,0.2022565985954061
323,-0.216,0.1,0.1891745457626756
324,-0.212973,0.1,0.2412216715518401
325,-0.211545,0.1,0.263881462487032
326,-0.199,0.1,0.1488624510538158
327,-0.197694,0.1,0.2189997070201467
328,-0.19,0.1,0.1548290940166233
329,-0.186,0.1,0.1202451630026291
330,-0.184771,0.1,0.200887270768331
331,-0.173084,0.1,0.1690046713227264
332,-0.173,0.1,0.123606523648027
333,-0.16677,0.1,0.1533061006486753
334,-0.162,0.1,0.0883595079561859
335,-0.154821,0.1,0.1418490514184713
336,-0.15,0.1,0.090095310144308
337,-0.14671,0.1,0.1348000757524483
338,-0.146,0.1,0.076087871063344
339,-0.1391,0.1,0.074887219937925
340,-0.13604,0.1,0.1237051712080504
341,-0.128653,0.1,0.1259811262727038
342,-0.1275,0.1,0.0656568981206124
343,-0.1158,0.1,0.0671855572234629
344,-0.114855,0.1,0.0977550729408472
345,-0.1121,0.1,0.0562831817123126
346,-0.1077,0.1,0.0597879726977861
347,-0.107452,0.1,0.0971874273664172
348,-0.101912,0.1,0.0924833112383755
349,-0.1012,0.1,0.0462306123835445
350,-0.095818,0.1,0.0809462421953008
351,-0.0897,0.1,0.0496483950826386
352,-0.085061,0.1,0.0544103750108509
353,-0.079031,0.1,0.0707550261495888
354,-0.0783,0.1,0.0414285124640183
355,-0.072829,0.1,0.059838479454829
356,-0.0709,0.1,0.0352958823822016
357,-0.058702,0.1,0.0529520712315219
358,-0.0565,0.1,0.0277658111667341
359,-0.04918,0.1,0.0243640023218015
360,-0.047981,0.1,0.0514962146116807
361,-0.038868,0.1,0.0527433989222603
362,-0.0381,0.1,0.0250287942274557
363,-0.028871,0.1,0.0350516370287861
364,-0.0232,0.1,0.0188681641096825
365,-0.014938,0.1,0.0375752992260253
366,-0.0131,0.1,0.0287935427730919
367,-0.0062,0.1,0.0294357598651649
368,-0.004498,0.1,0.0314062003129548
369,0.006092,0.1,0.0439195462140375
370,0.0061,0.1,0.0219604189937367
371,0.0158,0.1,0.0278243825651287
372,0.016525,0.1,0.0311214049072423
373,0.026302,0.1,0.0276814447830595
374,0.027,0.1,0.0276787706847013
375,0.0319,0.1,0.0295558319843019
376,0.04014,0.1,0.0268413827850837
377,0.0413,0.1,0.0176475960165713
378,0.048854,0.1,0.0280309218451643
379,0.0547,0.1,0.0273061407539593
380,0.0586,0.1,0.0330920141468622
381,0.059699,0.1,0.0233401524570499
382,0.069,0.1,0.0310168102374301
383,0.070484,0.1,0.0328990803325472
384,0.08,0.1,0.0269737060311619
385,0.081055,0.1,0.0378735230981
386,0.091,0.1,0.0434892827775435
387,0.093186,0.1,0.037664926899917
388,0.09673,0.1,0.0337790745245748
389,0.101,0.1,0.0490286154009582
390,0.104863,0.1,0.0444710327955356
391,0.112,0.1,0.0481256948889549
392,0.112967,0.1,0.048128266555039
393,0.120749,0.1,0.0543049545110658
394,0.124,0.1,0.053581758212863
395,0.129186,0.1,0.0680079759306207
396,0.132,0.1,0.0623033212620474
397,0.139371,0.1,0.0772004510363954
398,0.142,0.1,0.0770984435471179
399,0.153958,0.1,0.0868708076549493
400,0.159,0.1,0.0938294485530602
401,0.166702,0.1,0.1121754176890841
402,0.171,0.1,0.1094509905462829
403,0.175888,0.1,0.1312685157509197
404,0.182,0.1,0.1259043643205253
405,0.184689,0.1,0.1540876304073715
406,0.193,0.1,0.1498641736551439
407,0.194772,0.1,0.1781015264848945
408,0.201,0.1,0.1738943358302707
409,0.203934,0.1,0.2108740108931726
410,0.208,0.1,0.1954519316517081
411,0.213711,0.1,0.2480326648860835
412,0.215,0.1,0.2212100168263938
413,0.221,0.1,0.2637616702494521
414,0.228507,0.1,0.30017191153279
415,0.23,0.1,0.3080241012493733
416,0.239,0.1,0.3801603976825873
417,0.241724,0.1,0.3456749483612004
418,0.251,0.1,0.428127447326151
419,0.251393,0.1,0.4095824656786545
420,0.261,0.1,0.492375841525162
421,0.264149,0.1,0.4618422768637368
422,0.268,0.1,0.5458416843247802
423,0.271337,0.1,0.5439487275637271
424,0.279,0.1,0.5962047742026926
425,0.282,0.1,0.6167159364356845
426,0.285383,0.1,0.6203114011326922
427,0.287,0.1,0.6876873999620261
428,0.291717,0.1,0.6828310794994963
429,0.296,0.1,0.752248625310725
430,0.299971,0.1,0.7411962362448998
431,0.30417,0.1,0.8284538745042554
432,0.306,0.1,0.8619426509455689
433,0.316992,0.1,0.9262165942628484
434,0.32,0.1,0.949103242581547
435,0.325533,0.1,1.0223368141881644
436,0.33,0.1,1.0538754609140497
437,0.334791,0.1,1.0935418728584394
438,0.341,0.1,1.1066795985844695
439,0.346018,0.1,1.1976720356388857
440,0.349,0.1,1.203281193945946
441,0.359568,0.1,1.239797796700047
442,0.36,0.1,1.2561863049601418
443,0.362717,0.1,1.3093929426904585
444,0.368,0.1,1.3620390178460031
445,0.375,0.1,1.4149889131380144
446,0.376676,0.1,1.3591148949330738
447,0.387,0.1,1.5031107063834157
448,0.389246,0.1,1.4355253566217003
449,0.397247,0.1,1.46179911404303
450,0.399,0.1,1.5196239684463084
451,0.405,0.1,1.5900339514839863
452,0.408383,0.1,1.521081056750152
453,0.409,0.1,1.651871408839811
454,0.413,0.1,1.6242515508509603
455,0.418,0.1,1.6410010954222565
456,0.419841,0.1,1.5253940733954647
457,0.427,0.1,1.6654213883031008
458,0.429762,0.1,1.5605559950273449
459,0.43,0.1,1.6734489309386678
460,0.438,0.1,1.6618578509202933
461,0.44,0.1,1.6344233722370316
462,0.441,0.1,1.660758550494127
463,0.44135,0.1,1.5607981052461302
464,0.45,0.1,1.683795017140516
